r,Dept Code,Dept Name,Class Code,Class name,Sub Class Code,Subclass Name,Cy_Sale_Value,SPD,Growth%,Year
Fur,331,Bedroom,1,Beds,1,Super King Bed,"337,486",925,46.9%,YTD
Fur,331,Bedroom,1,Beds,2,King Bed,"3,755,929","10,290",17.9%,YTD
Fur,331,Bedroom,1,Beds,3,Queen Bed,"1,443,262","3,954",56.1%,YTD
Fur,331,Bedroom,1,Beds,4,Single Bed,"1,674,922","4,589",20.9%,YTD
Fur,331,Bedroom,1,Beds,5,Day Bed,"85,961",236,-10.9%,YTD
Fur,331,Bedroom,1,Beds,6,Modular Bedroom,"1,704,982","4,671",-15.3%,YTD
Fur,331,Bedroom,2,Bedroom Storage,1,Chest Of Drawers,"1,261,823","3,457",12.7%,YTD
Fur,331,Bedroom,2,Bedroom Storage,2,Night Stands,"2,997,988","8,214",21.7%,YTD
Fur,331,Bedroom,2,Bedroom Storage,3,Shoe Racks,"797,032","2,184",11.2%,YTD
Fur,331,Bedroom,2,Bedroom Storage,4,Benches & Storage,"402,304","1,102",48.5%,YTD
Fur,331,Bedroom,2,Bedroom Storage,5,Safe,"242,515",664,-7.1%,YTD
Fur,331,Bedroom,2,Bedroom Storage,6,Vanity,"3,814,389","10,450",12.2%,YTD
Fur,331,Bedroom,2,Bedroom Storage,7,Mirror & Stool,"487,940","1,337",44.6%,YTD
Fur,331,Bedroom,2,Bedroom Storage,8,Laundry Furniture,"11,773",32,2508.6%,YTD
Fur,331,Bedroom,3,Bed Sets,1,Super King Bed Sets,"58,902",161,-60.3%,YTD
Fur,331,Bedroom,3,Bed Sets,2,King Bed Sets,"915,248","2,508",-21.3%,YTD
Fur,331,Bedroom,4,Wardrobes,1,2 Door Wardrobe,"206,216",565,225.1%,YTD
Fur,331,Bedroom,4,Wardrobes,2,3 Door Wardrobe,"563,237","1,543",80.8%,YTD
Fur,331,Bedroom,4,Wardrobes,3,4 Door Wardrobe,"273,765",750,0.2%,YTD
Fur,331,Bedroom,4,Wardrobes,4,5 Door Warbrobe,"1,557,429","4,267",6.7%,YTD
Fur,331,Bedroom,4,Wardrobes,5,6 Door Wardrobe,"2,780,061","7,617",-1.2%,YTD
Fur,331,Bedroom,4,Wardrobes,6,Sliding Door Wardrobe,"902,730","2,473",-13.5%,YTD
Fur,331,Bedroom,4,Wardrobes,7,Modular Wardrobe,"212,864",583,-39.8%,YTD
Fur,331,Bedroom,5,Mattresses,1,Super King Mattresses,"295,793",810,1.6%,YTD
Fur,331,Bedroom,5,Mattresses,2,King Mattresses,"1,901,423","5,209",5.9%,YTD
Fur,331,Bedroom,5,Mattresses,3,Queen Mattresses,"786,079","2,154",34.8%,YTD
Fur,331,Bedroom,5,Mattresses,4,Single Mattresses,"1,634,254","4,477",-0.6%,YTD
Fur,332,Dining,1,Tables & Chairs,1,10 Seater & Above,"1,459,377","3,998",-12.4%,YTD
Fur,332,Dining,1,Tables & Chairs,2,8 Seater,"3,735,050","10,233",-4.3%,YTD
Fur,332,Dining,1,Tables & Chairs,3,6 Seater,"3,361,305","9,209",-0.8%,YTD
Fur,332,Dining,1,Tables & Chairs,4,4 Seater,"801,937","2,197",-2.7%,YTD
Fur,332,Dining,1,Tables & Chairs,5,2 Seater,"78,643",215,-65.1%,YTD
Fur,332,Dining,1,Tables & Chairs,6,Tea Table Sets,"198,796",545,53.6%,YTD
